Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-05-14 20:03:43,,-7.2492,112.7508,,
2025-05-14 20:03:44,,-7.2492,112.7508,,
2025-05-14 20:03:44,,-7.2492,112.7508,,
2025-05-14 20:03:45,person,-7.2492,112.7508,,
2025-05-14 20:03:46,person,-7.2492,112.7508,,
2025-05-14 20:03:46,person,-7.2492,112.7508,,
2025-05-14 20:03:47,person,-7.2492,112.7508,,
2025-05-14 20:03:47,,-7.2492,112.7508,,
2025-05-14 20:03:48,,-7.2492,112.7508,,
2025-05-14 20:03:49,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:49,,-7.2492,112.7508,,
2025-05-14 20:03:50,,-7.2492,112.7508,,
2025-05-14 20:03:50,,-7.2492,112.7508,,
2025-05-14 20:03:51,,-7.2492,112.7508,,
2025-05-14 20:03:51,,-7.2492,112.7508,,
2025-05-14 20:03:52,,-7.2492,112.7508,,
2025-05-14 20:03:53,,-7.2492,112.7508,,
2025-05-14 20:03:53,,-7.2492,112.7508,,
2025-05-14 20:03:54,,-7.2492,112.7508,,
